Date,Open,High,Low,Close,Adj Close,Volume
2018-08-31,36.599998,37.070000,36.580002,36.990002,36.588627,20414900
2018-09-04,36.750000,36.849998,36.209999,36.380001,35.985249,19158800
2018-09-05,36.290001,36.480000,36.150002,36.279999,35.886330,16801100
2018-09-06,36.529999,36.529999,35.720001,35.919998,35.530235,18329000
2018-09-07,35.900002,36.369999,35.750000,36.169998,35.777527,18156300
2018-09-10,36.400002,36.509998,36.279999,36.360001,35.965466,14292300
2018-09-11,36.439999,36.500000,36.220001,36.299999,35.906113,20600900
2018-09-12,36.209999,36.299999,35.669998,36.090000,35.698391,20877400
2018-09-13,36.150002,37.230000,36.080002,37.040001,36.638088,22993900
2018-09-14,37.150002,37.209999,36.720001,36.959999,36.558952,15004700
2018-09-17,37.029999,37.209999,36.720001,36.959999,36.558952,13318500
2018-09-18,37.110001,37.880001,36.980000,37.740002,37.330490,23443900
2018-09-19,37.650002,37.939999,37.290001,37.320000,36.915047,17452200
2018-09-20,37.610001,37.990002,37.119999,37.810001,37.399731,20489900
2018-09-21,37.950001,38.060001,37.480000,37.900002,37.488754,57634200
2018-09-24,35.950001,36.270000,34.750000,35.630001,35.243385,67853400
2018-09-25,35.860001,35.980000,35.290001,35.400002,35.015881,25533500
2018-09-26,35.599998,35.910000,35.299999,35.369999,34.986206,19777000
2018-09-27,35.500000,35.720001,35.180000,35.220001,34.837833,17055300
2018-09-28,35.250000,35.660000,35.150002,35.410000,35.025776,17306300
2018-10-01,35.529999,35.639999,34.990002,35.520000,35.134579,20430700
2018-10-02,35.279999,35.889999,35.000000,35.700001,35.502533,25036400
2018-10-03,35.779999,35.880001,35.009998,35.189999,34.995354,28967700
2018-10-04,35.049999,35.279999,34.840000,35.209999,35.015244,23118400
2018-10-05,35.189999,35.230000,34.410000,34.560001,34.368839,20433800
2018-10-08,34.500000,35.230000,34.450001,35.180000,34.985409,18925400
2018-10-09,35.279999,35.830002,34.990002,35.439999,35.243969,17407000
2018-10-10,35.369999,35.650002,34.230000,34.279999,34.090385,25754000
2018-10-11,34.599998,34.689999,33.509998,33.669998,33.483761,36284000
2018-10-12,34.049999,34.790001,33.889999,34.619999,34.428505,31439300
2018-10-15,34.610001,35.669998,34.509998,35.090000,34.895905,22877300
2018-10-16,35.220001,36.099998,35.200001,36.000000,35.800873,26282200
2018-10-17,36.119999,36.669998,35.790001,36.400002,36.198662,20386600
2018-10-18,36.279999,36.639999,35.820000,35.939999,35.741203,27905800
2018-10-19,36.119999,36.509998,35.779999,35.980000,35.780983,24405300
2018-10-22,36.099998,36.250000,35.590000,35.750000,35.552254,24301900
2018-10-23,35.410000,35.790001,35.049999,35.650002,35.452808,20100200
2018-10-24,35.980000,36.259998,34.049999,34.119999,33.931271,29974900
2018-10-25,35.880001,36.279999,35.049999,35.840000,35.641758,33839600
2018-10-26,35.639999,36.419998,34.919998,35.240002,35.045078,42435100
2018-10-29,35.919998,36.520000,35.419998,35.990002,35.790928,32373500
2018-10-30,36.490002,37.770000,36.119999,37.709999,37.501415,36610600
2018-10-31,37.959999,38.650002,37.320000,38.139999,37.929035,28182000
2018-11-01,38.099998,38.169998,37.660000,37.950001,37.740086,23797500
2018-11-02,38.090000,38.230000,37.009998,37.660000,37.451691,24593400
2018-11-05,37.939999,38.349998,37.849998,38.020000,37.809700,18780000
2018-11-06,38.110001,38.189999,37.529999,37.730000,37.521305,19682900
2018-11-07,37.970001,38.340000,37.639999,38.299999,38.088150,21551900
2018-11-08,38.490002,38.580002,37.910000,38.299999,38.088150,14327200
2018-11-09,38.160000,38.709999,37.950001,38.340000,38.127930,17819200
2018-11-12,38.250000,38.580002,37.570000,38.000000,37.789810,17042200
2018-11-13,38.250000,38.490002,37.509998,37.720001,37.511360,17569500
2018-11-14,38.009998,38.680000,37.770000,38.290001,38.078205,23447600
2018-11-15,38.110001,38.490002,37.820000,38.490002,38.277100,20772100
2018-11-16,38.709999,38.919998,38.310001,38.590000,38.376545,21542400
2018-11-19,38.590000,38.910000,37.990002,38.180000,37.968815,19265800
2018-11-20,38.160000,38.480000,36.610001,36.759998,36.556667,29276600
2018-11-21,36.700001,37.730000,36.660000,37.509998,37.302521,16525400
2018-11-23,37.259998,37.709999,37.200001,37.389999,37.183186,5743900
2018-11-26,37.779999,37.990002,37.439999,37.770000,37.561081,13283800
2018-11-27,37.619999,38.450001,37.619999,38.360001,38.147820,13718500
2018-11-28,38.230000,39.070000,38.189999,39.060001,38.843948,17816000
2018-11-29,38.700001,39.660000,38.639999,39.419998,39.201954,16362200
2018-11-30,39.450001,39.599998,38.720001,39.009998,38.794224,38075200
2018-12-03,39.090000,39.230000,38.680000,39.150002,38.933449,23382700
2018-12-04,39.200001,39.290001,37.360001,37.689999,37.481525,30198200
2018-12-06,37.310001,37.919998,36.980000,37.880001,37.670475,27455100
2018-12-07,37.660000,38.020000,37.080002,37.410000,37.203075,20605200
2018-12-10,37.540001,37.599998,36.709999,37.349998,37.143406,16235400
2018-12-11,37.790001,37.930000,36.740002,36.840000,36.636227,24295000
2018-12-12,37.310001,37.490002,36.830002,36.980000,36.775452,23589100
2018-12-13,37.029999,37.299999,36.389999,36.759998,36.556667,18407300
2018-12-14,36.389999,36.849998,36.180000,36.340000,36.138992,18146900
2018-12-17,36.389999,36.860001,36.000000,36.209999,36.009712,20725300
2018-12-18,36.459999,36.459999,35.230000,35.650002,35.452808,23690300
2018-12-19,35.820000,36.560001,34.950001,35.189999,34.995354,32338800
2018-12-20,35.220001,35.430000,34.230000,34.619999,34.428505,27230400
2018-12-21,34.669998,36.000000,33.669998,33.750000,33.563316,40280400
2018-12-24,33.720001,33.970001,33.029999,33.070000,32.887081,13391400
2018-12-26,33.259998,34.169998,32.610001,34.139999,33.951160,22917200
2018-12-27,33.799999,34.500000,33.110001,34.470001,34.279335,17456600
2018-12-28,34.860001,35.360001,34.180000,34.349998,34.160000,16231300
